Date : 2025-06-12 20:04:53
Directory : c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot
Total : 42 files,  3894 codes, 124 comments, 593 blanks, all 4611 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src\test\java\com\example\crud (Files)                                                                                          |          1 |          9 |          0 |          4 |         13 |
| src\test\java\com\example\crud\controller                                                                                       |          1 |         90 |         12 |         26 |        128 |
| src\test\java\com\example\crud\service                                                                                          |          1 |        113 |         22 |         34 |        169 |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                        | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\API_DOCUMENTATION.md                                                 | Markdown     |        258 |          0 |        104 |        362 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\README.md                                                            | Markdown     |        133 |          0 |         36 |        169 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\application.log                                                 | Log          |      1,028 |          0 |         17 |      1,045 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\database.log                                                    | Log          |        298 |          0 |          1 |        299 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\pom.xml                                                              | XML          |         74 |          0 |          5 |         79 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.bat                                                              | Batch        |         33 |          1 |          6 |         40 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.sh                                                               | Shell Script |         28 |          2 |          6 |         36 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\CrudApplication.java                  | Java         |          9 |          0 |          4 |         13 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\DataInitializer.java           | Java         |         57 |          5 |         16 |         78 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\LogDirectoryConfig.java        | Java         |         39 |          2 |          7 |         48 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\SecurityConfig.java            | Java         |         46 |          0 |          8 |         54 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\AdminController.java       | Java         |         12 |          3 |          4 |         19 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LogController.java         | Java         |         58 |          6 |         12 |         76 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LoginController.java       | Java         |         10 |          0 |          4 |         14 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\ProductController.java     | Java         |         79 |          8 |         14 |        101 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\UserController.java        | Java         |         89 |          3 |         15 |        107 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\WebController.java         | Java         |         85 |          0 |         16 |        101 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\exception\GlobalExceptionHandler.java | Java         |         63 |          1 |         14 |         78 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Product.java                    | Java         |         74 |          3 |         22 |         99 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\User.java                       | Java         |         75 |          2 |         22 |         99 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\ProductRepository.java     | Java         |         11 |          3 |          6 |         20 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\UserRepository.java        | Java         |         10 |          0 |          6 |         16 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\CustomUserDetailsService.java | Java         |         34 |          0 |          8 |         42 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\LogService.java               | Java         |         80 |         25 |         14 |        119 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductService.java           | Java         |         14 |          0 |         11 |         25 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductServiceImpl.java       | Java         |         55 |          0 |         17 |         72 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserService.java              | Java         |         13 |          0 |         11 |         24 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserServiceImpl.java          | Java         |         59 |          2 |         17 |         78 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\application.properties                            | Properties   |         15 |          2 |          3 |         20 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\logback.xml                                       | XML          |         48 |          3 |          6 |         57 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\style.css                              | PostCSS      |        217 |         11 |         43 |        271 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\js\script.js                               | JavaScript   |         29 |          4 |          3 |         36 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\admin\logs.html                         | HTML         |        175 |          0 |         10 |        185 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\error.html                              | HTML         |         38 |          0 |          7 |         45 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\login.html                              | HTML         |         68 |          0 |          9 |         77 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\form.html                      | HTML         |         54 |          0 |          7 |         61 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\list.html                      | HTML         |         77 |          4 |          6 |         87 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\form.html                         | HTML         |         68 |          0 |          8 |         76 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\list.html                         | HTML         |         69 |          0 |          4 |         73 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\CrudApplicationTests.java             | Java         |          9 |          0 |          4 |         13 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\controller\ProductControllerTest.java | Java         |         90 |         12 |         26 |        128 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\service\UserServiceTest.java          | Java         |        113 |         22 |         34 |        169 |
| Total                                                                                                                           |              |      3,894 |        124 |        593 |      4,611 |
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
