Date : 2025-06-12 20:23:57
Directory : c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot
Total : 49 files,  4465 codes, 144 comments, 704 blanks, all 5313 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\SecurityConfig.java            | Java         |         46 |          0 |          7 |         53 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LogController.java         | Java         |         58 |          6 |         12 |         76 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LoginController.java       | Java         |         10 |          0 |          4 |         14 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderController.java       | Java         |        117 |          7 |         18 |        142 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderWebController.java    | Java         |        108 |          0 |         26 |        134 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\ProductController.java     | Java         |         79 |          8 |         14 |        101 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\UserController.java        | Java         |         89 |          3 |         15 |        107 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\WebController.java         | Java         |         85 |          0 |         16 |        101 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\exception\GlobalExceptionHandler.java | Java         |         63 |          1 |         14 |         78 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Order.java                      | Java         |        100 |          3 |         31 |        134 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Product.java                    | Java         |         74 |          3 |         22 |         99 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\User.java                       | Java         |         75 |          2 |         22 |         99 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\OrderRepository.java       | Java         |         11 |          0 |          4 |         15 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\ProductRepository.java     | Java         |         11 |          3 |          6 |         20 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\UserRepository.java        | Java         |         10 |          0 |          6 |         16 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\CustomUserDetailsService.java | Java         |         34 |          0 |          8 |         42 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\LogService.java               | Java         |        113 |         34 |         15 |        162 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderService.java             | Java         |         13 |          0 |          4 |         17 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderServiceImpl.java         | Java         |         53 |          0 |         12 |         65 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductService.java           | Java         |         14 |          0 |         11 |         25 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductServiceImpl.java       | Java         |         55 |          0 |         17 |         72 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserService.java              | Java         |         13 |          0 |         11 |         24 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserServiceImpl.java          | Java         |         59 |          2 |         17 |         78 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\application.properties                            | Properties   |         15 |          2 |          3 |         20 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\logback.xml                                       | XML          |         48 |          3 |          6 |         57 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\orders.css                             | PostCSS      |         24 |          2 |          5 |         31 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\style.css                              | PostCSS      |        217 |         11 |         43 |        271 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\js\script.js                               | JavaScript   |         29 |          4 |          3 |         36 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\admin\logs.html                         | HTML         |        175 |          0 |         10 |        185 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\error.html                              | HTML         |         38 |          0 |          7 |         45 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\login.html                              | HTML         |         68 |          0 |          9 |         77 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\form.html                        | HTML         |         65 |          0 |          9 |         74 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\list.html                        | HTML         |         69 |          0 |          7 |         76 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\form.html                      | HTML         |         54 |          0 |          7 |         61 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\list.html                      | HTML         |         78 |          4 |          6 |         88 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\form.html                         | HTML         |         68 |          0 |          8 |         76 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\list.html                         | HTML         |         71 |          0 |          4 |         75 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\CrudApplicationTests.java             | Java         |          9 |          0 |          4 |         13 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\controller\ProductControllerTest.java | Java         |         90 |         12 |         26 |        128 |
| c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\service\UserServiceTest.java          | Java         |        113 |         22 |         34 |        169 |
| Total                                                                                                                           |              |      4,465 |        144 |        704 |      5,313 |
+---------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
